order_product_number,osli_id,company_uuid,product_uuid
0000004814,,f30b6b52-8a84-44b0-a991-84e8d39ffadf,
0000004813,,f30b6b52-8a84-44b0-a991-84e8d39ffadf,
0000004811,a0a0I000007dya5,9bcc6173-2a82-4f4f-8cb7-9412fc0bcf4b,8e41b706-82da-4df3-aa30-0a330b678ed4
0000004811,a0a0I000007dya4,9bcc6173-2a82-4f4f-8cb7-9412fc0bcf4b,9a67a242-82fe-45f8-a53d-80fac383aff6
0000004808,a0a0I000007dya1,9bcc6173-2a82-4f4f-8cb7-9412fc0bcf4b,80966999-da84-4cf0-9dda-6b3306f9d784
0000004806,a0a0I000007dyZr,9bcc6173-2a82-4f4f-8cb7-9412fc0bcf4b,d7c84752-4fff-4789-9580-825cd7a5d222
0000004805,a0a0I000007dyR4,55b8c691-f384-448b-a392-da67e3497a91,4c04070e-b5cc-4336-89e0-14247c229538
0000004805,a0a0I000007dyR5,55b8c691-f384-448b-a392-da67e3497a91,93d99066-5356-4577-8618-c97c1bd64c63
0000004805,a0a0I000007dyR6,55b8c691-f384-448b-a392-da67e3497a91,c3153951-e2fa-4494-aca7-16fbdc251ac4
0000004805,a0a0I000007dyR7,55b8c691-f384-448b-a392-da67e3497a91,7f51b48c-aff1-4045-941c-289b2b50bcb1
0000004805,a0a0I000007dyR8,55b8c691-f384-448b-a392-da67e3497a91,df93963b-e6dc-4b59-9ad3-5dfcd6d03f5a
0000004805,a0a0I000007dyR9,55b8c691-f384-448b-a392-da67e3497a91,8f2b60ea-09f2-4e84-a60d-7884dc6af0c8
0000004805,a0a0I000007dyQx,55b8c691-f384-448b-a392-da67e3497a91,6fdb1bd5-2bcd-4b23-b7aa-60e3c9df965e
0000004805,a0a0I000007dyQy,55b8c691-f384-448b-a392-da67e3497a91,77f55e8c-34ed-46d7-831f-09f8f4c55404
0000004805,a0a0I000007dyQz,55b8c691-f384-448b-a392-da67e3497a91,d72523c4-f4ce-4cd7-86bf-9f0d19d70ae4
0000004805,a0a0I000007dyR1,55b8c691-f384-448b-a392-da67e3497a91,6ed12230-eee5-4e1b-80ec-c765cda29fc7
0000004805,a0a0I000007dyR0,55b8c691-f384-448b-a392-da67e3497a91,9b0d030a-044c-4971-b144-cf5cb01528a7
0000004805,a0a0I000007dyR2,55b8c691-f384-448b-a392-da67e3497a91,a234868a-c91f-4c97-a924-1c87c9e9bc46
0000004805,a0a0I000007dyR3,55b8c691-f384-448b-a392-da67e3497a91,8baecb0f-e105-432a-b1e5-b48d55b962f5
0000004804,,9e8755a6-fe15-4e39-b3db-49e597f35566,
0000004803,a0a0I000007dxF4,cca51fdd-0ded-4000-954a-ea2bb7eb558c,e8eaab23-a522-4314-b6b5-b8d2e84edaab
0000004803,a0a0I000007dxFF,cca51fdd-0ded-4000-954a-ea2bb7eb558c,8d51b450-56ed-4a21-8e31-d67bfbd2c6b4
0000004803,a0a0I000007dxFE,cca51fdd-0ded-4000-954a-ea2bb7eb558c,3be1165c-7f00-4fe7-ab7f-938621f31c00
0000004803,a0a0I000007dxFG,cca51fdd-0ded-4000-954a-ea2bb7eb558c,f3b9a47f-9bc8-40e1-90ac-ba43a43af0df
0000004803,a0a0I000007dxF5,cca51fdd-0ded-4000-954a-ea2bb7eb558c,9cd29e66-c9b0-4ada-80ee-76d2ac6dd758
0000004803,a0a0I000007dxFH,cca51fdd-0ded-4000-954a-ea2bb7eb558c,a766dbc2-4984-4ea0-a567-be6873150e22
0000004803,a0a0I000007dxF6,cca51fdd-0ded-4000-954a-ea2bb7eb558c,ff9ce5ca-42ba-4793-84eb-6bf314f5c7b7
0000004803,a0a0I000007dxF7,cca51fdd-0ded-4000-954a-ea2bb7eb558c,0c67e5aa-002a-4c93-b446-0a0c672c5183
0000004803,a0a0I000007dxF8,cca51fdd-0ded-4000-954a-ea2bb7eb558c,a3ce973b-ee1e-4dbe-9241-d4098cac017e
0000004803,a0a0I000007dxF9,cca51fdd-0ded-4000-954a-ea2bb7eb558c,0289222c-1a4f-4553-b934-e21734797886
0000004803,a0a0I000007dxFA,cca51fdd-0ded-4000-954a-ea2bb7eb558c,47ab757b-9348-41a9-9f06-4ae5f67efb43
0000004803,a0a0I000007dxFB,cca51fdd-0ded-4000-954a-ea2bb7eb558c,492ab447-47a2-4a2c-942f-3652c760ac5b
0000004803,a0a0I000007dxFC,cca51fdd-0ded-4000-954a-ea2bb7eb558c,eae5e449-d95f-494b-807d-672b8dfdb83b
0000004803,a0a0I000007dxFD,cca51fdd-0ded-4000-954a-ea2bb7eb558c,f090731e-bee0-4eb7-bcd8-7a5ffa09c3ed
0000004802,a0a280000057Za1,850db805-38e8-4d17-94e6-1f288af1ff02,49224da5-e044-4b26-af68-e13273ce0363
0000004802,a0a280000057Za0,850db805-38e8-4d17-94e6-1f288af1ff02,c54aced0-cd7e-41d8-b234-5b0ef3bce84b
0000004801,,850db805-38e8-4d17-94e6-1f288af1ff02,
0000004800,,e8674789-c12d-4413-8e73-bdedbb1547f3,
0000004799,,7468803c-b71f-4cc3-90ac-26ce1525f518,
0000004798,a0a280000056vOH,458b0626-d4ae-4985-8e5c-cc4c75be8f2e,186c4908-c26e-44b2-909c-e427a344a04e
0000004798,a0a280000056vOI,458b0626-d4ae-4985-8e5c-cc4c75be8f2e,8a99a912-1c92-4183-8cf9-bd83010b70d3
0000004797,,bf8a6099-bb9f-470a-9d51-2ad876804771,
0000004796,a0a280000056sMP,bf8a6099-bb9f-470a-9d51-2ad876804771,ed0add3f-0ed0-48b2-8765-7081620eadfb
0000004795,a0a280000056imK,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,3893e5cc-e1f1-44d6-8175-964948d30a61
0000004795,a0a280000056ikS,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,f8d8c661-12db-4cee-af3b-ff7a775e81d0
0000004795,a0a280000056ilN,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,cb24b429-f97f-48dc-8595-128a68604112
0000004795,a0a280000056ikT,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,b442bba1-0b10-4801-90b0-14c7246d96c6
0000004795,a0a280000056il9,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,1d35822e-cf48-4526-8594-05139b75b680
0000004795,a0a280000056il2,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,68210b84-18f8-4dbe-a1db-03b06b1b2420
0000004795,a0a280000056ilI,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,9bc0a182-f1f6-43db-ae6a-ee238b2d42b4
0000004795,a0a280000056il3,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,146615a0-ab13-4b88-a5c5-c1473229786b
0000004795,a0a280000056ilE,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,1b4b5f7e-70ed-422e-b0cc-18a3b0868b4d
0000004795,a0a280000056iky,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,f6934844-de2e-404e-aba8-54f0f3b2d453
0000004795,a0a280000056ilF,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,ff8d4104-755e-4917-8ea0-088318301b65
0000004795,a0a280000056ikz,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,d77e0a48-c8d6-452f-8177-afa8dad8bb63
0000004795,a0a280000056ilG,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,88198c5b-1e41-4de2-85f6-cdb0e50764f5
0000004795,a0a280000056il0,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,97fe0579-3729-48e6-88d7-b23f21c8b77f
0000004795,a0a280000056ilH,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,b64604df-3c96-432f-b1a0-16a342442c22
0000004795,a0a280000056il1,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,15d71395-86eb-425e-8e89-fcfbec01fcb4
0000004795,a0a280000056ilK,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,fdc1f745-9183-41c2-9a4a-8bcedb9798f3
0000004795,a0a280000056ika,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,cd4a9cd9-ac71-4fc0-bbee-342083a765a6
0000004795,a0a280000056ilL,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,b9f43d19-76d7-4bee-a18f-f0ac97730d13
0000004795,a0a280000056ikc,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,9de740cf-1d9c-49c0-b8bb-d732e1a2085c
0000004795,a0a280000056ilt,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,0eda67fa-a59a-4b69-bf76-cdd5da8b2f62
0000004795,a0a280000056ikb,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,86bfdbf9-feec-4e45-8ae2-ec9db74b09f1
0000004795,a0a280000056il6,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,7b5b8022-ee4b-4439-98d4-34b94161b414
0000004795,a0a280000056ikp,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,0a22fd38-4c28-4125-a594-4687469a2d97
0000004795,a0a280000056ilA,7ec5ad39-1f4a-4f5b-b118-c16b9e1b9900,56b249bc-5844-4a66-ab2b-444335f2409d
